ID,Latitude,Longitude,Year (CE),RSL (mm),RSL std (mm)
1.0,48.38285,-4.494838,1845.0,-150.58652096891547,47.941972012231915
1.0,48.38285,-4.494838,1855.0,-145.798247667969,8.949459087980921
1.0,48.38285,-4.494838,1865.0,-166.7993179312116,2.820109967628704
1.0,48.38285,-4.494838,1875.0,-148.2397285397683,2.8004784203082713
1.0,48.38285,-4.494838,1885.0,-151.16516008817325,2.8004784220287986
1.0,48.38285,-4.494838,1895.0,-169.3923702234124,2.800478423705447
1.0,48.38285,-4.494838,1905.0,-168.4016926994127,2.8004784258693864
1.0,48.38285,-4.494838,1915.0,-76.3870055956213,3.381850439399184
1.0,48.38285,-4.494838,1925.0,-110.30233540799327,2.800478428183438
1.0,48.38285,-4.494838,1935.0,-86.76028364659032,2.800478434504357
1.0,48.38285,-4.494838,1945.0,-67.56468883883372,34.36331680986612
1.0,48.38285,-4.494838,1955.0,-81.15957667658768,8.375879013337416
1.0,48.38285,-4.494838,1965.0,-37.58532966315306,2.800478421345206
1.0,48.38285,-4.494838,1975.0,-68.57784175203597,2.8133945950618564
1.0,48.38285,-4.494838,1985.0,-22.85051695655784,3.4150202670211107
1.0,48.38285,-4.494838,1995.0,-7.382164976223066,2.8004784260910913
1.0,48.38285,-4.494838,2005.0,16.892171387036797,2.8004784300887207
1.0,48.38285,-4.494838,2015.0,51.85307069799819,3.3966707921608976
2.0,53.916667,14.233333,1815.0,-123.83861036463531,2.8313049917511233
2.0,53.916667,14.233333,1825.0,-103.7728844564981,4.805865020070017
2.0,53.916667,14.233333,1835.0,-128.95593127225766,2.8080937177581946
2.0,53.916667,14.233333,1845.0,-128.70429575624985,2.808093720238709
2.0,53.916667,14.233333,1855.0,-126.91826820097504,2.8080937196514006
2.0,53.916667,14.233333,1865.0,-118.47697891891585,2.808093715685341
2.0,53.916667,14.233333,1875.0,-114.7146580321787,2.808093717359746
2.0,53.916667,14.233333,1885.0,-124.600103165355,2.808093719966935
2.0,53.916667,14.233333,1895.0,-96.34722280012465,2.808093718755467
2.0,53.916667,14.233333,1905.0,-94.66859054492852,2.8080937198264415
2.0,53.916667,14.233333,1915.0,-69.77010841783704,2.8080937186978883
2.0,53.916667,14.233333,1925.0,-47.83307541104841,2.808093718373141
2.0,53.916667,14.233333,1935.0,-75.16632405612472,2.808093722258589
2.0,53.916667,14.233333,1945.0,-118.78891406489038,20.63351803842032
2.0,53.916667,14.233333,1955.0,-37.822004668804766,2.828480666441505
2.0,53.916667,14.233333,1965.0,-16.300959976730155,2.8080937205450307
2.0,53.916667,14.233333,1975.0,-22.640811061602108,2.8080937194947846
2.0,53.916667,14.233333,1985.0,26.37273763729354,2.8080937170580307
3.0,51.445639,0.743444,1835.0,-237.5635453914565,26.526807144068382
3.0,51.445639,0.743444,1845.0,-225.47559325208022,3.7880299944786078
3.0,51.445639,0.743444,1855.0,-153.1678395736817,90.11873769193181
3.0,51.445639,0.743444,1865.0,-296.7907325765291,372.0566183197775
3.0,51.445639,0.743444,1875.0,-432.5064834811501,452.09572892278925
3.0,51.445639,0.743444,1885.0,-307.1554730093212,271.13659974902566
3.0,51.445639,0.743444,1895.0,-190.61728956167008,19.099793083730617
3.0,51.445639,0.743444,1905.0,-216.84717893547895,7.895065860782329
3.0,51.445639,0.743444,1915.0,-157.13189315257296,3.3888212532535005
3.0,51.445639,0.743444,1925.0,-163.76920630929908,9.64151652762499
3.0,51.445639,0.743444,1935.0,-330.2361102559462,181.21952954570648
3.0,51.445639,0.743444,1945.0,-239.9942548835652,144.5629630497503
3.0,51.445639,0.743444,1955.0,24.54102024407348,63.91477912054721
3.0,51.445639,0.743444,1965.0,25.32228113050496,63.73409411265928
3.0,51.445639,0.743444,1975.0,-56.01240598387085,2.8026474388465847
3.0,51.445639,0.743444,1985.0,11.541149596135256,3.9749894769963654
3.0,51.445639,0.743444,1995.0,-16.009387925540068,7.1603477349520155
7.0,53.866667,8.716667,1985.0,-108.57230833043468,32.09821886494448
