Years,cm,mm_rel1993
1777,-2.2,-72
1807,-2,-70
1810,-14,-190
1812,-16,-210
1813,-20,-250
1814,-30,-350
1815,-20,-250
1816,-11,-160
1817,-4,-90
1836,9,40
1837,-2,-70
1838,-4,-90
1839,-12,-170
1840,-6,-110
1841,-0.7,-57
1842,5.2,2
1843,8.5,35
1844,1.3,-37
1845,-9.7,-147
1846,-7.3,-123
1847,-5.3,-103
1848,-4.4,-94
1849,-2.9,-79
1850,2.8,-22
1851,0.1,-49
1852,-4.4,-94
1853,-8.5,-135
1854,7.7,27
1855,-6.4,-114
1856,-1.1,-61
1857,-10.4,-154
1858,4.8,-2
1859,3.6,-14
1860,-14.4,-194
1861,-4.4,-94
1862,-8.4,-134
1863,12.4,74
1864,-3.2,-82
1865,-5.1,-101
1866,6.1,11
1867,0.2,-48
1868,1.9,-31
1869,6.3,13
1870,-10.2,-152
1871,-7.6,-126
1872,-11.6,-166
1873,4,-10
1874,12.9,79
1875,-9.6,-146
1876,-10.6,-156
1877,-2.7,-77
1878,7,20
1879,-3.7,-87
1880,4.3,-7
1881,-0.6,-56
1882,-5.3,-103
1883,-8.3,-133
1884,-6,-110
1885,-6.1,-111
1886,-9.1,-141
1887,2.9,-21
1888,-3.4,-84
1889,-7.1,-121
1890,-2.8,-78
1891,-10.5,-155
1892,-5,-100
1893,3.6,-14
1894,-1,-60
1895,-2.6,-76
1896,-7.5,-125
1897,-6.7,-117
1898,6.4,14
1899,13.4,84
1900,-4.7,-97
1901,-5.8,-108
1902,1.5,-35
1903,16,110
1904,3.5,-15
1905,9.7,47
1906,4.7,-3
1907,-4,-90
1908,-7.3,-123
1909,-0.3,-53
1910,-5.6,-106
1911,3.3,-17
1912,-0.8,-58
1913,5.8,8
1914,2,-30
1915,-7,-120
1916,-5,-100
1917,-1,-60
1918,-1.4,-64
1919,-2,-70
1920,-3,-80
1921,12,70
1922,3,-20
1923,7.7,27
1924,-0.9,-59
1925,7.9,29
1926,-3.2,-82
1927,2.8,-22
1928,1,-40
1929,0,-50
1930,-4,-90
1931,-3,-80
1932,6,10
1933,-9,-140
1934,-2.2,-72
1935,-1,-60
1949,9,40
1950,0.1,-49
1951,-10.8,-158
1952,3.9,-11
1953,3.5,-15
1954,-1.5,-65
1955,8.3,33
1956,5.4,4
1957,10.6,56
1958,0.8,-42
1959,-5.4,-104
1960,-17.3,-223
1961,12.2,72
1962,10.7,57
1963,-5.6,-106
1964,5.7,7
1965,-1.6,-66
1966,-6.6,-116
1967,11.5,65
1968,-2,-70
1969,-8.1,-131
1970,-1.8,-68
1971,5.4,4
1972,-7.2,-122
1973,8.2,32
1974,-0.1,-51
1975,9.6,46
1976,-7.2,-122
1977,-2.5,-75
1978,-1.7,-67
1979,-1.1,-61
1980,-4.5,-95
1981,10.9,59
1982,7.3,23
1983,24,190
1984,0.4,-46
1985,2.7,-23
1986,6.9,19
1987,2.5,-25
1988,11.6,66
1989,22.6,176
1990,19.8,148
1991,8,30
1992,14,90
1993,5,0
