Region,Latitude,Longitude,RSL,RSLer_up_2sd,RSLer_low_2sd,Age,Age_up_er_2sd,Age_low_er_2sd,Limiting,Indicator,Region,CC
New Jersey,39.496,-74.418,-3.91,0.06,0.06,2289,32,32,0,1,7,1
New Jersey,39.496,-74.418,-3.74,0.08,0.08,2257,36,36,0,1,7,1
New Jersey,39.496,-74.418,-3.73,0.08,0.08,2214,34,34,0,1,7,1
New Jersey,39.496,-74.418,-3.42,0.08,0.08,1969,102,102,0,1,7,1
New Jersey,39.496,-74.418,-3.88,0.1,0.1,2269,34,34,0,1,7,1
New Jersey,39.496,-74.418,-3.69,0.1,0.1,2190,31,31,0,1,7,1
New Jersey,39.496,-74.418,-4.02,0.12,0.12,2405,43,43,0,1,7,1
New Jersey,39.496,-74.418,-3.79,0.12,0.12,2242,38,38,0,1,7,1
New Jersey,39.496,-74.418,-3.89,0.14,0.14,2264,34,34,0,1,7,1
New Jersey,39.496,-74.418,-1.64,0.14,0.14,777,106,106,0,1,7,1
New Jersey,39.496,-74.418,-1.46,0.14,0.14,664,73,73,0,1,7,1
New Jersey,39.496,-74.418,-3.84,0.16,0.16,2251,37,37,0,1,7,1
New Jersey,39.496,-74.418,-1.5,0.16,0.16,702,88,88,0,1,7,1
New Jersey,39.496,-74.418,-2.62,0.18,0.18,1436,40,40,0,1,7,1
New Jersey,39.496,-74.418,-2.12,0.18,0.18,1183,36,36,0,1,7,1
New Jersey,39.496,-74.418,-1.99,0.18,0.18,1115,48,48,0,1,7,1
New Jersey,39.496,-74.418,-1.92,0.18,0.18,1079,47,47,0,1,7,1
New Jersey,39.496,-74.418,-1.89,0.18,0.18,1043,45,45,0,1,7,1
New Jersey,39.496,-74.418,-1.83,0.18,0.18,983,37,37,0,1,7,1
New Jersey,39.496,-74.418,-1.29,0.18,0.18,487,20,20,0,1,7,1
New Jersey,39.496,-74.418,-2.63,0.2,0.2,1445,39,39,0,1,7,1
New Jersey,39.496,-74.418,-2.6,0.2,0.2,1428,39,39,0,1,7,1
New Jersey,39.496,-74.418,-2.38,0.2,0.2,1365,20,20,0,1,7,1
New Jersey,39.496,-74.418,-2.37,0.2,0.2,1346,28,28,0,1,7,1
New Jersey,39.496,-74.418,-2.3,0.2,0.2,1284,17,17,0,1,7,1
New Jersey,39.496,-74.418,-2.28,0.2,0.2,1265,19,19,0,1,7,1
New Jersey,39.496,-74.418,-2.24,0.2,0.2,1251,24,24,0,1,7,1
New Jersey,39.496,-74.418,-2.21,0.2,0.2,1242,28,28,0,1,7,1
New Jersey,39.496,-74.418,-2.13,0.2,0.2,1203,26,26,0,1,7,1
New Jersey,39.496,-74.418,-2.09,0.2,0.2,1163,44,44,0,1,7,1
New Jersey,39.496,-74.418,-2.06,0.2,0.2,1146,49,49,0,1,7,1
New Jersey,39.496,-74.418,-1.84,0.2,0.2,1011,37,37,0,1,7,1
New Jersey,39.496,-74.418,-1.78,0.2,0.2,921,46,46,0,1,7,1
New Jersey,39.496,-74.418,-1.3,0.2,0.2,530,40,40,0,1,7,1
New Jersey,39.496,-74.418,-2.71,0.22,0.22,1469,36,36,0,1,7,1
New Jersey,39.496,-74.418,-2.69,0.22,0.22,1460,40,40,0,1,7,1
New Jersey,39.496,-74.418,-2.54,0.22,0.22,1417,35,35,0,1,7,1
New Jersey,39.496,-74.418,-2.47,0.22,0.22,1399,27,27,0,1,7,1
New Jersey,39.496,-74.418,-2.42,0.22,0.22,1386,22,22,0,1,7,1
New Jersey,39.496,-74.418,-2.39,0.22,0.22,1377,19,19,0,1,7,1
New Jersey,39.496,-74.418,-2.33,0.22,0.22,1324,32,32,0,1,7,1
New Jersey,39.496,-74.418,-2.17,0.22,0.22,1218,30,30,0,1,7,1
New Jersey,39.496,-74.418,-2.03,0.22,0.22,1131,49,49,0,1,7,1
New Jersey,39.496,-74.418,-1.93,0.22,0.22,1101,41,41,0,1,7,1
New Jersey,39.496,-74.418,-1.78,0.22,0.22,940,35,35,0,1,7,1
New Jersey,39.496,-74.418,-2.73,0.24,0.24,1493,28,28,0,1,7,1
New Jersey,39.496,-74.418,-2.72,0.24,0.24,1480,30,30,0,1,7,1
New Jersey,39.496,-74.418,-2.72,0.24,0.24,1473,34,34,0,1,7,1
New Jersey,39.496,-74.418,-2.51,0.24,0.24,1412,33,33,0,1,7,1
New Jersey,39.496,-74.418,-2.18,0.24,0.24,1230,29,29,0,1,7,1
New Jersey,39.496,-74.418,-4.13,0.3,0.3,2426,54,54,0,1,7,1
New Jersey,39.496,-74.418,-4.08,0.3,0.3,2351,37,37,0,1,7,1
New Jersey,39.496,-74.418,-4.01,0.3,0.3,2279,33,33,0,1,7,1
New Jersey,39.496,-74.418,-3.73,0.3,0.3,2150,31,31,0,1,7,1
New Jersey,39.496,-74.418,-3.68,0.3,0.3,2074,90,90,0,1,7,1
New Jersey,39.496,-74.418,-3.63,0.3,0.3,2037,109,109,0,1,7,1
New Jersey,39.496,-74.418,-3.58,0.3,0.3,2003,113,113,0,1,7,1
New Jersey,39.496,-74.418,-3.56,0.3,0.3,1990,111,111,0,1,7,1
New Jersey,39.496,-74.418,-3.26,0.32,0.32,1923,80,80,0,1,7,1
New Jersey,39.496,-74.418,-3.2,0.32,0.32,1802,46,46,0,1,7,1
New Jersey,39.496,-74.418,-3,0.32,0.32,1639,42,42,0,1,7,1
New Jersey,39.496,-74.418,-2.86,0.32,0.32,1615,38,38,0,1,7,1
New Jersey,39.496,-74.418,-2.76,0.32,0.32,1563,36,36,0,1,7,1
New Jersey,39.496,-74.418,-2.63,0.32,0.32,1546,32,32,0,1,7,1
New Jersey,39.496,-74.418,-2.63,0.32,0.32,1541,30,30,0,1,7,1
New Jersey,39.496,-74.418,-2.59,0.34,0.34,1452,40,40,0,1,7,1
New Jersey,39.496,-74.418,-2.64,0.5,0.5,1526,30,30,0,1,7,1
New Jersey,39.086,-74.812,-1.05,0.12,0.12,356,30,30,0,1,7,1
New Jersey,39.086,-74.812,-1.12,0.14,0.14,429,40,40,0,1,7,1
