Region,Latitude,Longitude,RSL,RSLer_up_2sd,RSLer_low_2sd,Age,Age_up_er_2sd,Age_low_er_2sd,Limiting,Indicator,Region,CC
Northern NC,35.885,-75.681,-0.07,0.1,0.1,-27,3,3,0,1,17,1
Northern NC,35.885,-75.681,-0.11,0.1,0.1,-23,3,3,0,1,17,1
Northern NC,35.885,-75.681,-0.1,0.1,0.1,-19,2,2,0,1,17,1
Northern NC,35.885,-75.681,-0.16,0.1,0.1,-15,2,2,0,1,17,1
Northern NC,35.885,-75.681,-0.18,0.1,0.1,-11,2,2,0,1,17,1
Northern NC,35.885,-75.681,-0.17,0.1,0.1,-9,2,2,0,1,17,1
Northern NC,35.885,-75.681,-0.17,0.1,0.1,-7,2,2,0,1,17,1
Northern NC,35.885,-75.681,-0.19,0.1,0.1,2,3,3,0,1,17,1
Northern NC,35.885,-75.681,-0.25,0.1,0.1,6,3,3,0,1,17,1
Northern NC,35.885,-75.681,-0.17,0.18,0.18,8,3,3,0,1,17,1
Northern NC,35.885,-75.681,-0.17,0.16,0.16,10,3,3,0,1,17,1
Northern NC,35.885,-75.681,-0.21,0.12,0.12,12,4,4,0,1,17,1
Northern NC,35.885,-75.681,-0.22,0.14,0.14,13,4,4,0,1,17,1
Northern NC,35.885,-75.681,-0.19,0.08,0.08,15,4,4,0,1,17,1
Northern NC,35.885,-75.681,-0.27,0.12,0.12,16,4,4,0,1,17,1
Northern NC,35.885,-75.681,-0.23,0.1,0.1,17,5,5,0,1,17,1
Northern NC,35.885,-75.681,-0.25,0.1,0.1,19,5,5,0,1,17,1
Northern NC,35.885,-75.681,-0.31,0.1,0.1,24,5,5,0,1,17,1
Northern NC,35.885,-75.681,-0.32,0.1,0.1,28,5,5,0,1,17,1
Northern NC,35.885,-75.681,-0.3,0.12,0.12,35,5,5,0,1,17,1
Northern NC,35.885,-75.681,-0.28,0.14,0.14,41,5,5,0,1,17,1
Northern NC,35.885,-75.681,-0.32,0.12,0.12,46,6,6,0,1,17,1
Northern NC,35.885,-75.681,-0.35,0.1,0.1,73,22,22,0,1,17,1
Northern NC,35.885,-75.681,-0.39,0.12,0.12,101,35,35,0,1,17,1
Northern NC,35.885,-75.681,-0.39,0.12,0.12,110,35,35,0,1,17,1
Northern NC,35.885,-75.681,-0.41,0.1,0.1,119,33,33,0,1,17,1
Northern NC,35.885,-75.681,-0.41,0.14,0.14,128,30,30,0,1,17,1
Northern NC,35.885,-75.681,-0.42,0.12,0.12,139,25,25,0,1,17,1
Northern NC,35.885,-75.681,-0.45,0.12,0.12,157,20,20,0,1,17,1
Northern NC,35.885,-75.681,-0.44,0.12,0.12,173,18,18,0,1,17,1
Northern NC,35.885,-75.681,-0.47,0.12,0.12,186,24,24,0,1,17,1
Northern NC,35.885,-75.681,-0.5,0.1,0.1,199,27,27,0,1,17,1
Northern NC,35.885,-75.681,-0.47,0.14,0.14,211,26,26,0,1,17,1
Northern NC,35.885,-75.681,-0.52,0.1,0.1,224,21,21,0,1,17,1
Northern NC,35.885,-75.681,-0.56,0.12,0.12,253,29,29,0,1,17,1
Northern NC,35.885,-75.681,-0.57,0.08,0.08,274,36,36,0,1,17,1
Northern NC,35.885,-75.681,-0.58,0.08,0.08,293,40,40,0,1,17,1
Northern NC,35.885,-75.681,-0.59,0.08,0.08,302,40,40,0,1,17,1
Northern NC,35.885,-75.681,-0.59,0.1,0.1,311,40,40,0,1,17,1
Northern NC,35.885,-75.681,-0.63,0.12,0.12,321,38,38,0,1,17,1
Northern NC,35.885,-75.681,-0.66,0.12,0.12,360,34,34,0,1,17,1
Northern NC,35.885,-75.681,-0.65,0.1,0.1,375,37,37,0,1,17,1
Northern NC,35.885,-75.681,-0.72,0.1,0.1,391,38,38,0,1,17,1
Northern NC,35.885,-75.681,-0.72,0.1,0.1,435,41,41,0,1,17,1
Northern NC,35.885,-75.681,-0.73,0.14,0.14,462,43,43,0,1,17,1
Northern NC,35.885,-75.681,-0.74,0.1,0.1,471,42,42,0,1,17,1
Northern NC,35.885,-75.681,-0.76,0.12,0.12,489,39,39,0,1,17,1
Northern NC,35.885,-75.681,-0.78,0.12,0.12,507,32,32,0,1,17,1
Northern NC,35.885,-75.681,-0.81,0.1,0.1,534,24,24,0,1,17,1
Northern NC,35.885,-75.681,-0.82,0.1,0.1,558,30,30,0,1,17,1
Northern NC,35.885,-75.681,-0.87,0.12,0.12,590,38,38,0,1,17,1
Northern NC,35.885,-75.681,-0.93,0.1,0.1,619,37,37,0,1,17,1
Northern NC,35.885,-75.681,-0.93,0.12,0.12,643,28,28,0,1,17,1
Northern NC,35.885,-75.681,-1.01,0.12,0.12,666,19,19,0,1,17,1
Northern NC,35.885,-75.681,-0.99,0.1,0.1,688,22,22,0,1,17,1
Northern NC,35.885,-75.681,-1.03,0.12,0.12,704,26,26,0,1,17,1
Northern NC,35.885,-75.681,-1.04,0.1,0.1,719,30,30,0,1,17,1
Northern NC,35.885,-75.681,-1.11,0.12,0.12,737,35,35,0,1,17,1
