Region	Site	Reference	Indicator	Latitude (¡N)	Longitude (¡E)	RSL (m)	RSL +1s	RSL -1s	Age (CE)	Age +2s	Age -2s
"Brittany, France"	Arun	Stephan et al. (2015)	foraminifera	48.29	-4.24	-2.96	0.2	0.2	-872	74	119
"Brittany, France"	Arun	Stephan et al. (2015)	foraminifera	48.29	-4.24	-2.26	0.2	0.2	-422	213	319
"Brittany, France"	Arun	Stephan et al. (2015)	foraminifera	48.29	-4.24	-0.97	0.2	0.2	353	182	123
"Brittany, France"	Arun	Stephan et al. (2015)	foraminifera	48.29	-4.24	-0.61	0.2	0.2	951	83	175
"Brittany, France"	Arun	Stephan et al. (2015)	foraminifera	48.29	-4.24	-0.3	0.2	0.2	1467	167	63
"Brittany, France"	Traon	Stephan et al. (2015)	foraminifera	48.31	-4.26	-0.48	0.2	0.2	1100	116	102
"Brittany, France"	Tresseny	Stephan et al. (2015)	foraminifera	48.64	-4.4	-0.28	0.14	0.14	1450	162	27
"Christmas Island, Kiribati"	Multiple	McGregor et al. (2011); Compiled in Woodroffe et al. (2012)	coral microatoll	1.98	-157.5	-0.23	0.1	0.05	-1050	220	219
"Christmas Island, Kiribati"	Multiple	McGregor et al. (2011); Compiled in Woodroffe et al. (2012)	coral microatoll	1.98	-157.5	0	0.1	0.05	-1035	188	202
"Christmas Island, Kiribati"	Multiple	Woodroffe et al. (2012)	coral microatoll	1.98	-157.5	-0.18	0.1	0.05	-986	166	181
"Christmas Island, Kiribati"	Multiple	Woodroffe et al. (2012)	coral microatoll	1.98	-157.5	-0.14	0.1	0.05	-887	160	125
"Christmas Island, Kiribati"	Multiple	Woodroffe et al. (2012)	coral microatoll	1.98	-157.5	0.13	0.1	0.05	-875	153	118
"Christmas Island, Kiribati"	Multiple	Woodroffe et al. (2012)	coral microatoll	1.98	-157.5	-0.14	0.1	0.05	-863	153	118
"Christmas Island, Kiribati"	Multiple	McGregor et al. (2011); Compiled in Woodroffe et al. (2012)	coral microatoll	1.98	-157.5	-0.07	0.1	0.05	-860	126	173
"Christmas Island, Kiribati"	Multiple	Woodroffe et al. (2012)	coral microatoll	1.98	-157.5	0.09	0.1	0.05	-853	110	146
"Christmas Island, Kiribati"	Multiple	Woodroffe et al. (2012)	coral microatoll	1.98	-157.5	-0.12	0.1	0.05	-844	156	114
"Christmas Island, Kiribati"	Multiple	Woodroffe et al. (2012)	coral microatoll	1.98	-157.5	-0.07	0.1	0.05	-799	165	169
"Christmas Island, Kiribati"	Multiple	Woodroffe et al. (2012)	coral microatoll	1.98	-157.5	0.1	0.1	0.05	-799	169	165
"Christmas Island, Kiribati"	Multiple	Woodroffe et al. (2012)	coral microatoll	1.98	-157.5	-0.14	0.1	0.05	-784	144	201
"Christmas Island, Kiribati"	Multiple	Woodroffe et al. (2012)	coral microatoll	1.98	-157.5	0.06	0.1	0.05	-674	197	137
"Christmas Island, Kiribati"	Multiple	Woodroffe et al. (2012)	coral microatoll	1.98	-157.5	-0.14	0.1	0.05	-662	140	205
"Christmas Island, Kiribati"	Multiple	Woodroffe et al. (2012)	coral microatoll	1.98	-157.5	-0.14	0.1	0.05	-581	168	188
"Christmas Island, Kiribati"	Multiple	Woodroffe et al. (2012)	coral microatoll	1.98	-157.5	-0.03	0.1	0.05	-557	168	173
"Christmas Island, Kiribati"	Multiple	Woodroffe et al. (2012)	coral microatoll	1.98	-157.5	0.04	0.1	0.05	-536	156	187
"Christmas Island, Kiribati"	Multiple	McGregor et al. (2011); Compiled in Woodroffe et al. (2012)	coral microatoll	1.98	-157.5	-0.12	0.1	0.05	-401	487	487
"Christmas Island, Kiribati"	Multiple	Woodroffe et al. (2012)	coral microatoll	1.98	-157.5	0.01	0.1	0.05	-273	181	131
"Christmas Island, Kiribati"	Multiple	Woodroffe et al. (2012)	coral microatoll	1.98	-157.5	-0.01	0.1	0.05	-240	164	137
"Christmas Island, Kiribati"	Multiple	McGregor et al. (2011); Compiled in Woodroffe et al. (2012)	coral microatoll	1.98	-157.5	0.06	0.1	0.05	-54	186	215
"Christmas Island, Kiribati"	Multiple	Woodroffe et al. (2012)	coral microatoll	1.98	-157.5	-0.12	0.1	0.05	-1	150	168
"Christmas Island, Kiribati"	Multiple	Woodroffe et al. (2012)	coral microatoll	1.98	-157.5	0.13	0.1	0.05	5	144	166
"Christmas Island, Kiribati"	Multiple	Woodroffe et al. (2012)	coral microatoll	1.98	-157.5	0.05	0.1	0.05	28	189	195
"Christmas Island, Kiribati"	Multiple	Woodroffe et al. (2012)	coral microatoll	1.98	-157.5	-0.03	0.1	0.05	31	37	37
"Christmas Island, Kiribati"	Multiple	Woodroffe et al. (2012)	coral microatoll	1.98	-157.5	-0.08	0.1	0.05	52	166	160
"Christmas Island, Kiribati"	Multiple	Woodroffe et al. (2012)	coral microatoll	1.98	-157.5	0.01	0.1	0.05	54	191	199
"Christmas Island, Kiribati"	Multiple	Woodroffe et al. (2012)	coral microatoll	1.98	-157.5	-0.03	0.1	0.05	70	168	162
