Termination I Mean Ocean Temperature compilation,,,,,,,,,,
"Fig. 1 of Shackleton et al. (2021) Climate of the Past, 17(5), 2273-2289.",,,,,,,,,,
,,,,,,,,,,
Full references,,,,,,,,,,
"Bereiter et al. (2018) Nature, 553(7686), 39-44.",,,,,,,,,,
"Baggenstos et al. (2019) PNAS, 116(30), 14881-14886.",,,,,,,,,,
"Shackleton et al. (2020) Nature geoscience, 13(1), 77-81.",,,,,,Age (ka),Lower bound,Mean ,Upper bound,std
"Shackleton et al. (2019) GRL, 46(11), 5928-5936.",,,,,,,,,,
,,,,,,Spline of the MOT anomaly,,,,
Age,MOT_anomaly,MOT_abs,Error,Ice Core,Reference,age,std2_lo,Mean,std2_hi,std
0.32,0.01,3.54,0.28,WD,"Bereiter et al, 2018",0,-0.384489841,-0.010566986,0.416192997,0.400341419
0.76,-0.08,3.45,0.27,WD,"Bereiter et al, 2018",0.01,-0.379249093,-0.011041344,0.409047229,0.394148161
0.78,-0.09,3.44,0.36,WD,"Bereiter et al, 2018",0.02,-0.378533767,-0.011528791,0.408942127,0.393737947
0.99,-0.09,3.44,0.40,EDC,"Baggenstos et al, 2019",0.03,-0.376169568,-0.012029088,0.396503152,0.38633636
1.99,-0.01,3.52,0.40,EDC,"Baggenstos et al, 2019",0.04,-0.375893194,-0.012541998,0.388362618,0.382127906
2.23,-0.28,3.25,0.27,WD,"Bereiter et al, 2018",0.05,-0.374620643,-0.013067283,0.384960269,0.379790456
2.72,-0.40,3.13,0.18,WD,"Bereiter et al, 2018",0.06,-0.373912383,-0.013604706,0.379628282,0.376770333
2.94,0.08,3.61,0.40,EDC,"Baggenstos et al, 2019",0.07,-0.369733277,-0.014154029,0.375961033,0.372847155
3.25,0.09,3.62,0.41,WD,"Bereiter et al, 2018",0.08,-0.365632547,-0.014715014,0.37139869,0.368515619
3.77,-0.17,3.36,0.27,WD,"Bereiter et al, 2018",0.09,-0.361940344,-0.015287424,0.361275174,0.361607759
3.99,0.09,3.62,0.40,EDC,"Baggenstos et al, 2019",0.1,-0.360216011,-0.015871021,0.354556469,0.35738624
4.99,0.15,3.68,0.40,EDC,"Baggenstos et al, 2019",0.11,-0.354513043,-0.016465567,0.345773416,0.35014323
6.97,-0.02,3.51,0.40,EDC,"Baggenstos et al, 2019",0.12,-0.350325212,-0.017070825,0.336650206,0.343487709
7.73,-0.41,3.12,0.29,WD,"Bereiter et al, 2018",0.13,-0.34752384,-0.017686558,0.333843498,0.340683669
7.92,-0.18,3.35,0.40,EDC,"Baggenstos et al, 2019",0.14,-0.34497773,-0.018312527,0.328751594,0.336864662
8.27,0.19,3.72,0.29,WD,"Bereiter et al, 2018",0.15,-0.344012984,-0.018948495,0.324745758,0.334379371
8.52,-0.08,3.45,0.19,WD,"Bereiter et al, 2018",0.16,-0.341994659,-0.019594224,0.322521015,0.332257837
8.79,-0.33,3.20,0.22,WD,"Bereiter et al, 2018",0.17,-0.341269522,-0.020249476,0.313221181,0.327245352
9.03,-0.06,3.47,0.40,EDC,"Baggenstos et al, 2019",0.18,-0.338243284,-0.020914015,0.30702171,0.322632497
9.35,-0.12,3.41,0.32,WD,"Bereiter et al, 2018",0.19,-0.334336624,-0.021587603,0.302606918,0.318471771
9.59,-0.46,3.07,0.31,WD,"Bereiter et al, 2018",0.2,-0.3308247,-0.022270001,0.296441127,0.313632913
9.85,-0.02,3.51,0.22,WD,"Bereiter et al, 2018",0.21,-0.327061691,-0.022960972,0.291611818,0.309336754
9.98,-0.01,3.52,0.40,EDC,"Baggenstos et al, 2019",0.22,-0.324071639,-0.023660278,0.288346638,0.306209138
10.13,0.43,3.96,0.32,WD,"Bereiter et al, 2018",0.23,-0.322160962,-0.024367683,0.283355821,0.302758392
10.40,-0.04,3.49,0.26,WD,"Bereiter et al, 2018",0.24,-0.31815226,-0.025082948,0.278676877,0.298414568
10.6,-0.01,3.52,0.30,TG,"Shackleton et al, 2020",0.25,-0.31482781,-0.025805835,0.273436552,0.294132181
10.6,0.03,3.56,0.30,TG,"Shackleton et al, 2020",0.26,-0.31499115,-0.026536108,0.269950282,0.292470716
10.6,-0.05,3.48,0.30,TG,"Shackleton et al, 2020",0.27,-0.313744511,-0.027273527,0.265600341,0.289672426
10.6,0.07,3.60,0.30,TG,"Shackleton et al, 2020",0.28,-0.313023069,-0.028017857,0.262584793,0.287803931
10.6,-0.04,3.49,0.30,TG,"Shackleton et al, 2020",0.29,-0.309886571,-0.028768858,0.260959618,0.285423095
10.66,-0.18,3.35,0.16,WD,"Bereiter et al, 2018",0.3,-0.306452494,-0.029526294,0.259429347,0.28294092
10.91,-0.20,3.33,0.34,WD,"Bereiter et al, 2018",0.31,-0.305256486,-0.030289927,0.257879325,0.281567906
10.98,0.05,3.58,0.40,EDC,"Baggenstos et al, 2019",0.32,-0.303710124,-0.031059519,0.252560856,0.27813549
11.00,-0.05,3.48,0.24,TG,"Shackleton et al, 2019",0.33,-0.301481185,-0.031834833,0.250517433,0.275999309
11.11,-0.05,3.48,0.15,WD,"Bereiter et al, 2018",0.34,-0.299241033,-0.03261563,0.250431137,0.274836085
11.15,0.05,3.58,0.27,TG,"Shackleton et al, 2019",0.35,-0.297938657,-0.033401674,0.250128383,0.27403352
11.29,0.14,3.67,0.26,TG,"Shackleton et al, 2019",0.36,-0.293106273,-0.034192727,0.249280874,0.271193573
11.30,0.51,4.04,0.28,WD,"Bereiter et al, 2018",0.37,-0.291444688,-0.03498855,0.243190138,0.267317413
11.43,0.18,3.71,0.26,TG,"Shackleton et al, 2019",0.38,-0.289123291,-0.035788907,0.240782779,0.264953035
11.47,-0.24,3.29,0.21,WD,"Bereiter et al, 2018",0.39,-0.286873478,-0.03659356,0.238610263,0.26274187
11.53,-0.03,3.50,0.25,TG,"Shackleton et al, 2019",0.4,-0.285584338,-0.037402271,0.235506118,0.260545228
11.65,-0.04,3.49,0.27,TG,"Shackleton et al, 2019",0.41,-0.285082608,-0.038214802,0.231386301,0.258234455
11.65,-0.10,3.43,0.21,WD,"Bereiter et al, 2018",0.42,-0.282976382,-0.039030916,0.229681699,0.25632904
11.82,-0.14,3.39,0.28,TG,"Shackleton et al, 2019",0.43,-0.281084576,-0.039850376,0.225394721,0.253239649
11.87,0.34,3.87,0.38,WD,"Bereiter et al, 2018",0.44,-0.280472116,-0.040672943,0.220565566,0.250518841
11.93,-0.22,3.31,0.40,EDC,"Baggenstos et al, 2019",0.45,-0.279327042,-0.04149838,0.221861973,0.250594507
11.99,-0.33,3.20,0.24,TG,"Shackleton et al, 2019",0.46,-0.27841339,-0.04232645,0.220915047,0.249664219
12.09,0.25,3.78,0.26,WD,"Bereiter et al, 2018",0.47,-0.275622876,-0.043156914,0.21727998,0.246451428
12.17,-0.61,2.92,0.24,TG,"Shackleton et al, 2019",0.48,-0.275901292,-0.043989536,0.216703182,0.246302237
12.31,-0.40,3.13,0.24,WD,"Bereiter et al, 2018",0.49,-0.277319073,-0.044824076,0.212945085,0.245132079
12.35,-0.78,2.75,0.24,TG,"Shackleton et al, 2019",0.5,-0.278238624,-0.045660299,0.213227616,0.24573312
12.52,-0.99,2.54,0.26,TG,"Shackleton et al, 2019",0.51,-0.278711736,-0.046497966,0.209444033,0.244077884
12.53,-0.65,2.88,0.19,WD,"Bereiter et al, 2018",0.52,-0.278515941,-0.047336839,0.204458427,0.241487184
12.69,-1.07,2.46,0.24,TG,"Shackleton et al, 2019",0.53,-0.277791753,-0.048176682,0.200023707,0.23890773
12.75,-1.53,2.00,0.27,WD,"Bereiter et al, 2018",0.54,-0.280032826,-0.049017256,0.200784711,0.240408768
12.86,-1.30,2.23,0.23,TG,"Shackleton et al, 2019",0.55,-0.280638386,-0.049858323,0.198972283,0.239805335
12.95,-0.79,2.74,0.40,EDC,"Baggenstos et al, 2019",0.56,-0.280313908,-0.050699646,0.196272561,0.238293235
12.96,-0.74,2.79,0.27,WD,"Bereiter et al, 2018",0.57,-0.279555794,-0.051540988,0.192357405,0.2359566
13.03,-1.06,2.47,0.25,TG,"Shackleton et al, 2019",0.58,-0.27743331,-0.052382111,0.189708904,0.233571107
13.17,-1.08,2.45,0.24,WD,"Bereiter et al, 2018",0.59,-0.27687311,-0.053222777,0.188026074,0.232449592
13.20,-1.28,2.25,0.23,TG,"Shackleton et al, 2019",0.6,-0.277505423,-0.054062748,0.186521748,0.232013585
13.37,-1.08,2.45,0.25,TG,"Shackleton et al, 2019",0.61,-0.278089319,-0.054901787,0.180932636,0.229510978
13.39,-1.04,2.49,0.24,WD,"Bereiter et al, 2018",0.62,-0.279486821,-0.055739657,0.179432994,0.229459907
13.61,-0.96,2.57,0.32,WD,"Bereiter et al, 2018",0.63,-0.279984214,-0.056576119,0.178386534,0.229185374
13.84,-0.68,2.86,0.22,WD,"Bereiter et al, 2018",0.64,-0.28284725,-0.057410936,0.176219453,0.229533351
